year,Present-day borders,
1948,154000.00,
1949,156000.00,
1950,158804.40,
1951,160872.26,
1952,163266.03,
1953,165910.00,
1954,168736.39,
1955,171685.34,
1956,174705.01,
1957,177751.48,
1958,180788.39,
1959,183786.25,
1960,186720.57,
1961,189569.85,
1962,192313.75,
1963,194932.40,
1964,197408.50,
1965,199733.68,
1966,201895.76,
1967,203905.08,
1968,205805.76,
1969,207659.27,
1970,209513.34,
1971,211384.08,
1972,213269.81,
1973,215178.80,
1974,217114.90,
1975,219081.25,
1976,221086.43,
1977,223135.66,
1978,225223.31,
1979,227339.32,
1980,229476.36,
1981,231636.07,
1982,233821.85,
1983,236030.24,
1984,238256.85,
1985,240499.82,
1986,242763.14,
1987,245052.78,
1988,247372.26,
1989,249725.81,
1990,252120.31,
1991,254539.37,
1992,256990.61,
1993,259532.13,
1994,262241.20,
1995,265163.74,
1996,268335.01,
1997,271713.63,
1998,275175.31,
1999,278548.15,
2000,281710.91,
2001,284607.99,
2002,287279.31,
2003,289815.57,
2004,292354.66,
2005,294993.51,
2006,297758.98,
2007,300608.43,
2008,303486.02,
2009,306307.57,
2010,309011.47,
2011,311584.05,
2012,314043.89,
2013,316400.54,
2014,318673.42,
2015,320878.31,
2016,323015.99,
2017,325084.76,
2018,327096.26,
2019,329064.92,
2020,331002.65,
